pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-09-28,83.5,1.91,5.91,"Lauer, Eric",666018,641778,field_out,hit_into_play,,,,,8.0,"Jonathan Aranda grounds out, first baseman Vladimir Guerrero Jr. to pitcher Eric Lauer.",R,L,L,TOR,TB,X,3.0,ground_ball,0,0,2025,-0.26,-0.17,0.0036570712169673,1.961077253171594,,,,2,9,Top,161.56,167.98,,,,,-3.856868529663963,-121.6426369580944,-2.3288592581975935,-1.87599088584024,23.35754070330233,-33.665788005965545,3.36,1.56,5.0,92.0,-23.0,83.4,2128.0,6.1,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.36,0.052,0.051,0.0,1.0,0.0,0.0,2.0,82,1,Slider,13,4,4,13,4,13,4,13,Standard,Standard,235.0,0.001,-0.26,73.0,7.7,0.052,0.26,92.0,9,-9,0.999,0.001,30,27,30,27,1,4,3.0,1,7,,3.43,-0.26,-0.26,35.2,13.380250098309023,-9.152966076568005,32.87215526083359,36.33237150412019,34.74204805007017
CU,2025-09-28,74.3,1.93,6.2,"Lauer, Eric",691406,641778,field_out,hit_into_play,,,,,14.0,Junior Caminero lines out to center fielder Daulton Varsho.,R,R,L,TOR,TB,X,8.0,line_drive,1,1,2025,-1.05,-1.03,1.0792442542719107,2.1192308771346777,,,,1,9,Top,151.1,76.88,,,,,0.1023824856421694,-108.18717074122428,0.7188665455585113,-8.195747465244807,20.866026734198048,-40.58845311508582,3.57,1.59,309.0,85.9,27.0,73.3,2393.0,5.7,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.77,0.073,0.078,0.0,1.0,0.0,0.0,3.0,81,3,Curveball,13,4,4,13,4,13,4,13,Strategic,Standard,316.0,0.0,-0.244,76.1,8.5,0.123,0.244,88.0,9,-9,0.999,0.001,30,21,30,22,1,4,3.0,1,7,,5.19,-1.05,1.05,36.4,10.206378695078492,-0.1651412499151163,24.22402278098072,50.1848525984432,35.957604696141104
FC,2025-09-28,87.0,2.0,5.96,"Lauer, Eric",691406,641778,,called_strike,,,,,3.0,Called Strike,R,R,L,TOR,TB,S,,,1,0,2025,-0.45,0.51,0.6524775359404912,2.8654707321147512,,,,1,9,Top,,,,,,,-2.295124335831745,-126.75832471449264,-2.282058260608877,-4.360041195852616,26.28281895930453,-26.464589286703298,3.46233234381982,1.54667606613709,,,,86.5,2505.0,5.9,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.58,,,,,,,,81,2,Cutter,13,4,4,13,4,13,4,13,Strategic,Standard,194.0,0.0,-0.049,,,,0.049,,9,-9,0.999,0.001,30,21,30,22,1,4,3.0,1,7,,2.5,-0.45,0.45,33.2,,,,,
CU,2025-09-28,75.4,1.88,6.08,"Lauer, Eric",691406,641778,,ball,,,,,14.0,Ball,R,R,L,TOR,TB,B,,,0,0,2025,-1.14,-0.84,0.1878245143623647,0.8920453176745085,,,,1,9,Top,,,,,,,-1.4802279235253686,-109.77490956153028,-2.083489869221027,-8.847895619775972,21.489276288124277,-38.76652506120979,3.49310420848367,1.58999890287515,,,,74.6,2435.0,5.9,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.6,,,,,,,,81,1,Curveball,13,4,4,13,4,13,4,13,Standard,Standard,318.0,0.0,0.039,,,,-0.039,,9,-9,0.999,0.001,30,21,30,22,1,4,3.0,1,7,,4.88,-1.14,1.14,38.7,,,,,
FF,2025-09-28,92.9,1.94,6.0,"Lauer, Eric",680700,641778,strikeout,swinging_strike,,,,,2.0,Richie Palacios strikes out swinging.,R,L,L,TOR,TB,S,2.0,,3,2,2025,0.66,1.36,0.2186017735378775,3.291570831966592,,,,0,9,Top,,,,,,,-5.851176174025218,-135.0618448020486,-4.107427256869627,9.396299018576808,30.6822876579768,-14.832477630181478,3.4,1.62,,,,92.7,2292.0,6.3,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.18,,0.0,0.0,1.0,0.0,0.0,,80,6,4-Seam Fastball,13,4,4,13,4,13,4,13,Standard,Standard,144.0,0.0,-0.345,64.1,5.6,,0.345,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.29,0.66,0.66,38.2,-3.8833426230444337,27.06218125847598,20.79403921865165,33.8731978886127,15.224591044267546
FF,2025-09-28,92.4,1.97,5.93,"Lauer, Eric",680700,641778,,called_strike,,,,,6.0,Called Strike,R,L,L,TOR,TB,S,,,3,1,2025,0.6,1.22,0.7413746682221591,2.624770457272843,,,,0,9,Top,,,,,,,-4.424365606177239,-134.416700322237,-5.222337331007903,8.281067967221551,30.306443288059036,-16.486658257564724,3.35379571009472,1.57557298893051,,,,91.9,2235.0,6.1,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.4,,,,,,,,80,5,4-Seam Fastball,13,4,4,13,4,13,4,13,Strategic,Standard,140.0,0.0,-0.094,,,,0.094,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.46,0.6,0.6,35.9,,,,,
FF,2025-09-28,91.8,1.95,5.9,"Lauer, Eric",680700,641778,,called_strike,,,,,2.0,Called Strike,R,L,L,TOR,TB,S,,,3,0,2025,0.57,1.27,0.060737150997313,3.194472874132347,,,,0,9,Top,,,,,,,-5.990720829290327,-133.52706056641404,-3.7014670967014234,8.12563270403352,29.84200514799483,-16.409999001064328,3.40245722111689,1.58978768470284,,,,91.5,2174.0,6.2,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.3,,,,,,,,80,4,4-Seam Fastball,13,4,4,13,4,13,4,13,Strategic,Standard,142.0,0.0,-0.09,,,,0.09,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.45,0.57,0.57,41.9,,,,,
FF,2025-09-28,92.2,2.0,5.99,"Lauer, Eric",680700,641778,,ball,,,,,12.0,Ball,R,L,L,TOR,TB,B,,,2,0,2025,0.5,1.48,0.8939886152719294,4.80063947432509,,,,0,9,Top,,,,,,,-3.8711360490031943,-134.29762053212755,-0.3962356518176395,6.871657227106278,30.55780995968139,-14.456676979623616,3.41409447744014,1.70331216561657,,,,91.7,2260.0,6.1,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.45,,,,,,,,80,3,4-Seam Fastball,13,4,4,13,4,13,4,13,Standard,Standard,139.0,0.0,0.152,,,,-0.152,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.21,0.5,0.5,35.6,,,,,
FF,2025-09-28,91.2,1.98,5.91,"Lauer, Eric",680700,641778,,ball,,,,,11.0,Ball,R,L,L,TOR,TB,B,,,1,0,2025,0.43,1.08,-0.2480579522494935,3.758823980283645,,,,0,9,Top,,,,,,,-6.5161738105584455,-132.68951719153952,-1.8388332204723077,6.498127810543177,27.923476262069418,-19.184554082282805,3.42962953262971,1.6483171898265,,,,91.1,2193.0,6.2,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.32,,,,,,,,80,2,4-Seam Fastball,13,4,4,13,4,13,4,13,Standard,Standard,143.0,0.0,0.077,,,,-0.077,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.65,0.43,0.43,34.1,,,,,
FF,2025-09-28,92.0,2.06,5.91,"Lauer, Eric",680700,641778,,ball,,,,,12.0,Ball,R,L,L,TOR,TB,B,,,0,0,2025,0.57,1.21,0.9273552574551708,3.3499988839184787,,,,0,9,Top,,,,,,,-4.09840240813872,-133.95180265480445,-3.317893765464507,7.693003642346218,26.77536739266054,-17.079645838578358,3.45918604516763,1.6772047617556,,,,92.1,2197.0,6.1,776145,672386,665489,643396,676391,665926,664702,662139,664770,54.37,,,,,,,,80,1,4-Seam Fastball,13,4,4,13,4,13,4,13,Standard,Standard,137.0,0.0,0.041,,,,-0.041,,9,-9,0.999,0.001,30,28,30,28,1,4,3.0,3,7,,1.47,0.57,0.57,32.5,,,,,
